num,code,name,typecode,type
619,131100,리켐,32001,기초 화학물질 제조업
620,277070,린드먼아시아,116402,신탁업 및 집합투자업
621,042500,링네트,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
622,219420,링크제니시스,105802,소프트웨어 개발 및 공급업
623,027740,마니커,31001,"도축, 육류 가공 및 저장 처리업"
624,098120,마이크로컨텍솔,32602,전자부품 제조업
625,227950,마이크로텍,32902,특수 목적용 기계 제조업
626,147760,마이크로프랜드,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
627,035480,마제스타,189102,유원지 및 기타 오락관련 서비스업
628,038290,마크로젠,137309,"그외 기타 전문, 과학 및 기술 서비스업"
629,204320,만도,33003,자동차 신품 부품 제조업
630,001080,만호제강,32401,1차 철강 제조업
631,267980,매일유업,31005,낙농제품 및 식용빙과류 제조업
632,005990,매일홀딩스,116409,기타 금융업
633,127160,매직마이크로,32602,전자부품 제조업
634,093520,매커스,74605,기계장비 및 관련 물품 도매업
635,141070,맥스로텍,32902,특수 목적용 기계 제조업
636,088980,맥쿼리인프라,116402,신탁업 및 집합투자업
637,094800,맵스리얼티1,116402,신탁업 및 집합투자업
638,100590,머큐리,32604,통신 및 방송 장비 제조업
639,067280,멀티캠퍼스,168506,기타 교육기관
640,072870,메가스터디,105801,"서적, 잡지 및 기타 인쇄물 출판업"
641,215200,메가스터디교육,168505,일반 교습 학원
642,133750,메가엠디,168505,일반 교습 학원
643,200580,메디쎄이,32701,의료용 기기 제조업
644,041920,메디아나,32701,의료용 기기 제조업
645,233250,메디안디노스틱,32103,의료용품 및 기타 의약 관련제품 제조업
646,236340,메디젠휴먼케어,137001,자연과학 및 공학 연구개발업
647,086900,메디톡스,32101,기초 의약물질 및 생물학적 제제 제조업
648,015540,메디파트너생명공학,147509,기타 사업지원 서비스업
649,078160,메디포스트,32101,기초 의약물질 및 생물학적 제제 제조업
650,065650,메디프론,74605,기계장비 및 관련 물품 도매업
651,138040,메리츠금융지주,116409,기타 금융업
652,008560,메리츠종금증권,116601,금융 지원 서비스업
653,000060,메리츠화재,116501,보험업
654,021880,메이슨캐피탈,116409,기타 금융업
655,140410,메지온,137001,자연과학 및 공학 연구개발업
656,241770,메카로,32004,기타 화학제품 제조업
657,090370,메타랩스,31401,봉제의복 제조업
